Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned,New,Roll_avg
5/19,7602,1716,2826,2518,50,18,660,186,25,392,1,70,132,1,466,0,188,15,176,30,161,66,24,35,2,33,40,9,2,15,426,3,415,10,124,4,106,360,16,48,160,219
5/20,7630,1719,2846,2551,50,18,666,198,25,394,1,71,137,1,472,0,188,15,177,30,161,66,24,35,2,33,42,9,2,15,426,3,421,10,124,4,106,363,16,66,146,206
5/21,7669,1728,2863,2594,50,18,674,204,25,399,1,71,139,1,480,0,189,16,177,30,160,66,24,35,2,34,42,9,2,15,426,3,437,10,124,4,106,363,16,59,148,206
5/22,7741,1742,2889,2719,50,18,691,217,25,401,1,72,145,1,496,0,189,16,177,30,161,67,24,35,2,34,42,9,2,15,426,3,463,10,124,4,106,368,16,54,320,208
5/23,7783,1756,2895,2812,53,18,696,229,25,410,1,72,157,1,499,0,190,16,177,30,161,72,24,35,2,34,43,9,3,15,426,3,477,10,127,4,107,368,16,72,243,210
5/24,7826,1762,2904,2958,53,19,704,231,25,412,1,73,157,1,503,0,190,16,177,30,161,75,24,35,2,34,44,9,3,15,426,3,494,10,129,4,108,369,16,62,237,210
5/25,7835,1766,2916,3008,53,19,727,233,25,421,1,73,157,1,510,0,190,16,177,30,161,75,24,35,2,34,44,9,3,15,427,3,497,10,130,4,108,378,16,48,116,204
5/26,7863,1856,2927,3048,53,19,733,236,25,424,1,73,162,1,513,0,194,16,177,30,161,80,24,35,2,34,45,9,3,15,428,3,516,10,131,4,108,380,16,51,225,207
5/27,7923,1884,2937,3231,54,19,742,238,25,449,1,73,164,1,523,0,198,16,177,30,161,80,24,35,2,34,47,9,3,15,428,3,531,11,132,4,108,383,16,53,358,214
5/28,7949,1909,2945,3369,59,19,757,244,25,477,1,73,167,1,535,0,202,16,178,30,161,83,24,35,2,35,47,9,3,15,430,3,555,11,133,4,108,383,16,58,307,223
5/29,7993,1922,2956,3458,62,19,776,246,25,509,1,73,169,1,549,0,203,16,178,30,161,87,24,36,2,35,46,9,3,15,432,3,582,11,135,4,109,392,16,61,278,219
5/30,8092,1937,2967,3585,63,19,794,248,25,514,1,73,172,1,574,0,204,17,178,30,161,88,25,37,2,36,49,9,3,15,434,3,596,11,147,4,108,396,16,68,353,234
5/31,8123,1940,2976,3749,63,19,810,250,25,516,1,73,172,1,598,0,208,17,178,31,162,88,25,37,2,36,49,9,3,15,435,3,600,11,151,4,108,398,16,75,275,240
6/1,8177,1950,2987,3817,63,19,823,250,25,546,1,74,172,1,610,0,208,17,181,31,162,89,28,37,2,36,50,9,3,15,438,3,612,11,152,4,110,401,16,27,180,239
6/2,8264,1968,2991,3938,73,19,838,254,27,550,1,76,172,1,632,0,211,18,181,31,163,89,28,37,2,36,52,9,3,15,443,4,627,13,154,4,110,402,20,28,327,251
6/3,8318,1991,2999,4031,77,19,852,255,27,550,1,76,173,1,642,0,212,18,181,31,163,88,29,37,2,36,53,9,3,15,446,3,648,13,154,4,111,404,20,37,245,258
6/4,8371,2007,3014,4141,78,19,873,260,27,550,1,76,177,1,670,0,214,19,181,31,164,88,30,37,2,37,52,9,3,15,450,3,664,13,157,4,111,405,20,19,264,266
6/5,8417,2019,3025,4366,79,19,906,261,27,559,1,78,177,1,704,0,215,19,181,31,165,88,33,37,2,37,56,9,3,15,449,3,713,13,163,4,113,409,20,25,449,276
6/6,8457,2034,3033,4509,79,19,930,262,27,562,1,81,178,1,722,0,216,19,181,31,165,89,33,37,2,38,56,9,3,15,449,3,727,13,166,4,116,410,20,32,287,279
6/7,8496,2040,3039,4665,79,19,959,262,27,566,1,86,178,1,746,0,218,19,182,31,165,90,35,37,2,38,56,9,3,15,450,3,753,13,170,4,116,419,20,29,312,284
6/8,8529,2050,3064,4834,80,19,979,264,27,571,1,89,178,1,764,0,222,19,181,31,170,90,37,37,2,39,56,10,3,15,450,3,769,13,171,4,117,420,20,25,313,298
