Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned,New,Roll_avg
4/30,452,50,109,47,0,2,41,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0,10,16
5/1,457,50,109,47,0,2,43,5,0,19,0,0,1,0,10,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0,6,15
5/2,459,50,109,47,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0,4,14
5/3,463,50,111,48,0,2,44,5,0,19,0,0,1,0,11,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,22,1,1,0,0,28,0,0,7,14
5/4,469,52,112,52,0,2,46,5,0,20,0,0,2,0,13,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,23,1,1,0,0,29,0,0,21,13
5/5,474,52,112,52,0,2,46,5,0,20,0,0,2,0,14,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,24,1,1,0,0,30,0,0,8,13
5/6,480,54,114,57,0,2,47,5,0,20,0,0,2,0,14,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,26,1,1,0,0,33,0,0,21,13
5/7,487,55,115,58,0,2,48,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,13,0,27,1,1,0,0,33,0,0,14,13
5/8,491,57,117,59,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,28,1,1,0,2,33,0,0,16,13
5/9,500,57,117,59,0,2,51,5,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,28,1,1,0,2,34,0,0,10,13
5/10,506,58,118,62,0,2,52,6,0,20,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,0,0,0,14,0,29,1,1,0,2,34,0,0,14,13
5/11,513,59,121,65,0,2,53,6,0,21,0,0,2,0,16,0,3,0,9,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,34,0,0,17,13
5/12,518,60,121,68,0,2,53,6,0,22,0,0,3,0,16,0,3,0,9,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,35,0,1,13,12
5/13,519,60,122,71,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,29,1,1,0,2,35,0,0,8,12
5/14,521,61,125,72,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,1,9,12
5/15,526,62,125,74,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,1,8,12
5/16,527,62,125,75,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,0,1,12
5/17,528,62,125,75,0,2,55,6,0,22,0,0,3,0,17,0,3,0,10,0,2,0,3,3,0,1,1,1,0,0,14,0,30,1,1,0,2,35,0,0,1,12
5/18,534,64,132,81,0,2,58,6,0,22,0,0,3,0,18,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,29,12
5/19,535,68,132,82,0,2,58,6,0,22,0,0,3,0,18,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,6,12
5/20,539,69,133,83,0,2,58,6,0,22,0,0,3,0,18,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,7,11
5/21,542,69,135,83,0,2,59,6,0,22,0,0,3,0,18,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,6,10
5/22,545,70,135,83,0,2,59,6,0,22,0,0,3,0,19,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,5,10
5/23,547,70,135,87,0,2,59,6,0,22,0,0,3,0,19,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,6,9
5/24,550,71,136,91,0,2,59,6,0,22,0,0,3,0,19,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,9,9
5/25,552,71,142,91,0,2,59,6,0,22,0,0,3,0,19,0,4,0,10,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,8,8
5/26,559,75,145,91,0,2,60,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,17,9
5/27,562,78,147,93,0,2,61,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,31,1,1,0,2,36,0,0,11,9
5/28,564,78,147,94,0,2,62,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,32,1,1,0,2,36,0,0,5,9
5/29,567,79,148,95,0,2,62,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,32,1,2,0,2,36,0,0,7,8
5/30,567,79,148,95,0,2,62,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,32,1,2,0,2,36,0,0,0,8
5/31,569,79,149,95,0,2,62,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,33,1,2,0,2,37,0,1,6,9
6/1,570,81,149,96,0,2,63,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,34,1,2,0,2,37,0,0,5,7
6/2,573,82,150,97,0,2,63,6,0,22,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,34,1,2,0,2,37,0,0,6,7
6/3,574,83,150,97,0,2,63,6,0,23,0,0,3,0,20,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,34,1,2,0,2,37,0,0,3,7
6/4,576,84,152,99,0,2,64,6,0,24,0,0,3,0,21,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,35,1,2,0,2,37,0,0,11,7
6/5,576,85,152,100,0,2,66,6,0,24,0,0,3,0,21,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,35,1,2,0,2,37,0,0,4,7
6/6,578,85,152,100,0,2,66,6,0,26,0,0,3,0,21,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,35,1,2,0,2,37,0,2,6,7
6/7,579,85,153,101,0,2,66,6,0,26,0,0,3,0,21,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,35,1,3,0,2,37,0,0,2,7
6/8,580,87,155,104,0,2,67,6,0,27,0,0,3,0,22,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,2,38,0,0,15,7
6/9,582,87,156,108,0,2,71,6,0,27,0,0,3,0,25,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,2,38,0,0,14,7
6/10,583,87,156,112,0,2,70,6,0,27,0,0,3,0,25,0,4,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,2,38,0,0,4,6
6/11,586,88,156,114,0,2,72,6,0,27,0,0,3,0,25,0,5,0,11,0,2,0,3,3,0,1,1,1,0,0,15,0,37,1,4,0,3,38,0,0,10,7
